Fecha;Año;País;Distribuidor;Marca;Operador;Cantidad;Venta parcial 1;Venta parcial 2;Venta parcial 3;Venta promedio;Precio;Total;Columna1;Columna2;;País;Distribuidor;Marca;Operador;Cantidad;Venta parcial 1;Venta parcial 2;Venta parcial 3;Venta promedio;Precio;;;;Total;País;Distribuidor;Marca;Operador
18/6/2024;2024;Paraguay;Metro;LG;Entel;184;44;48;92;61; $ 15,00 ; $ 2.760,00 ; ????;|||||||||||||;;;;;Entel;1247223;5370872;0,1818;0,7827;18,18%;78,27%;;;;;;;;
5/10/2024;2024;Brasil;Metro;Apple;Tuenti;125;74;40;11;42; $ 15,00 ; $ 1.875,00 ; ?;|||||||||;;;;;Claro;1491067;6861939;0,2173;1,0000;21,73%;100,00%;;;;;;;;
25/7/2024;2024;Argentina;Metro;Samsung;Entel;141;38;12;91;47; $ 15,00 ; $ 2.115,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
22/5/2025;2025;Dinamarca;Metro;Nokia;Tuenti;149;25;89;35;50; $ 15,00 ; $ 2.235,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
25/1/2025;2025;Inglaterra;Metro;LG;Claro;113;27;1;85;38; $ 15,00 ; $ 1.695,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
25/3/2025;2025;Dinamarca;Metro;Huawei;Claro;173;63;43;67;58; $ 15,00 ; $ 2.595,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
25/4/2025;2025;México;Metro;Huawei;Tuenti;245;75;77;93;82; $ 15,00 ; $ 3.675,00 ; ????;||||||||||||||||||;;;;;;;;;;;;;;;;;;;
29/3/2025;2025;Guatemala;Metro;Samsung;Claro;147;23;93;31;49; $ 15,00 ; $ 2.205,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
28/7/2024;2024;Canadá;Metro;Nokia;Claro;190;64;42;84;63; $ 15,00 ; $ 2.850,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
10/2/2025;2025;Cuba;Metro;Nokia;Tuenti;174;75;5;94;58; $ 15,00 ; $ 2.610,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
1/1/2025;2025;Irlanda;Metro;LG;Claro;152;92;10;50;51; $ 15,00 ; $ 2.280,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
4/1/2025;2025;Cuba;Metro;LG;Movistar;226;67;68;91;75; $ 15,00 ; $ 3.390,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
10/12/2024;2024;Alemania;Metro;Nokia;Bitel;103;71;28;4;34; $ 15,00 ; $ 1.545,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
27/6/2024;2024;Colombia;Metro;LG;Tuenti;212;70;56;86;71; $ 15,00 ; $ 3.180,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
11/8/2024;2024;México;Metro;Nokia;Bitel;56;37;15;4;19; $ 15,00 ; $ 840,00 ; ?;||||;;;;;;;;;;;;;;;;;;;
2/5/2025;2025;Francia;Metro;Nokia;Tuenti;132;72;19;41;44; $ 15,00 ; $ 1.980,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
20/3/2025;2025;Jamaica;Metro;Nokia;Entel;166;26;84;56;55; $ 15,00 ; $ 2.490,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
3/6/2025;2025;Venezuela;Metro;LG;Entel;177;49;58;70;59; $ 15,00 ; $ 2.655,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
11/8/2024;2024;Cuba;Metro;Huawei;Tuenti;184;62;53;69;61; $ 15,00 ; $ 2.760,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
16/3/2025;2025;Estados Unidos;Metro;LG;Claro;163;52;91;20;54; $ 15,00 ; $ 2.445,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
30/6/2024;2024;Inglaterra;Metro;Samsung;Tuenti;149;62;36;51;50; $ 15,00 ; $ 2.235,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
26/9/2024;2024;Estados Unidos;Metro;Huawei;Bitel;120;18;76;26;40; $ 15,00 ; $ 1.800,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
7/11/2024;2024;Colombia;Metro;Huawei;Entel;245;70;84;91;82; $ 15,00 ; $ 3.675,00 ; ????;||||||||||||||||||;;;;;;;;;;;;;;;;;;;
5/4/2025;2025;Inglaterra;Metro;Apple;Entel;168;92;27;49;56; $ 15,00 ; $ 2.520,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
3/11/2024;2024;Argentina;Metro;LG;Tuenti;97;34;37;26;32; $ 15,00 ; $ 1.455,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
11/6/2024;2024;Irlanda;Metro;Huawei;Bitel;53;5;31;17;18; $ 15,00 ; $ 795,00 ; ?;|||;;;;;;;;;;;;;;;;;;;
19/2/2025;2025;Bolivia;Metro;LG;Entel;97;62;25;10;32; $ 15,00 ; $ 1.455,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
21/11/2024;2024;Dinamarca;Metro;LG;Claro;157;73;25;59;52; $ 15,00 ; $ 2.355,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
25/8/2024;2024;Colombia;Metro;LG;Movistar;179;80;5;94;60; $ 15,00 ; $ 2.685,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
26/7/2024;2024;El Salvador;Metro;Apple;Movistar;161;7;86;68;54; $ 15,00 ; $ 2.415,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
17/3/2025;2025;Francia;Metro;LG;Bitel;158;55;83;20;53; $ 15,00 ; $ 2.370,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
15/12/2024;2024;Argentina;Metro;LG;Movistar;107;53;36;18;36; $ 15,00 ; $ 1.605,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
27/5/2025;2025;Colombia;Metro;Samsung;Bitel;179;39;65;75;60; $ 15,00 ; $ 2.685,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
4/5/2025;2025;El Salvador;Oeschle;Motorola;Tuenti;193;45;82;66;64; $ 15,00 ; $ 2.895,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
18/2/2025;2025;Jamaica;Oeschle;Samsung;Movistar;184;24;90;70;61; $ 15,00 ; $ 2.760,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
28/6/2024;2024;Paraguay;Oeschle;Motorola;Movistar;198;65;70;63;66; $ 15,00 ; $ 2.970,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
5/11/2024;2024;España;Oeschle;LG;Movistar;134;55;28;51;45; $ 15,00 ; $ 2.010,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
14/3/2025;2025;Uruguay;Oeschle;Samsung;Entel;126;11;33;82;42; $ 15,00 ; $ 1.890,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
17/3/2025;2025;Chile;Oeschle;Samsung;Claro;156;38;64;54;52; $ 15,00 ; $ 2.340,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
12/4/2025;2025;Cuba;Oeschle;Samsung;Bitel;155;62;80;13;52; $ 15,00 ; $ 2.325,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
7/9/2024;2024;Irlanda;Oeschle;Motorola;Tuenti;114;58;42;14;38; $ 15,00 ; $ 1.710,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
10/3/2025;2025;Jamaica;Oeschle;Huawei;Claro;162;56;60;46;54; $ 15,00 ; $ 2.430,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
4/1/2025;2025;Uruguay;Oeschle;LG;Bitel;149;7;73;69;50; $ 15,00 ; $ 2.235,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
29/11/2024;2024;Chile;Oeschle;Motorola;Claro;95;33;59;3;32; $ 15,00 ; $ 1.425,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
14/6/2024;2024;Uruguay;Oeschle;Apple;Movistar;100;45;27;28;33; $ 15,00 ; $ 1.500,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
11/4/2025;2025;Cuba;Oeschle;Apple;Entel;113;11;72;30;38; $ 15,00 ; $ 1.695,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
4/2/2025;2025;Francia;Oeschle;Huawei;Movistar;177;42;52;83;59; $ 15,00 ; $ 2.655,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
29/10/2024;2024;Paraguay;Oeschle;LG;Bitel;182;94;36;52;61; $ 15,00 ; $ 2.730,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
7/2/2025;2025;Paraguay;Oeschle;Nokia;Movistar;130;22;31;77;43; $ 15,00 ; $ 1.950,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
6/5/2025;2025;Guatemala;Oeschle;Motorola;Bitel;167;89;35;43;56; $ 15,00 ; $ 2.505,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
28/1/2025;2025;Alemania;Oeschle;LG;Claro;117;13;20;84;39; $ 15,00 ; $ 1.755,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
22/2/2025;2025;Inglaterra;Oeschle;Nokia;Entel;216;60;63;93;72; $ 15,00 ; $ 3.240,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
29/9/2024;2024;Suiza;Oeschle;Apple;Movistar;153;66;55;32;51; $ 15,00 ; $ 2.295,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
25/3/2025;2025;Francia;Oeschle;Samsung;Claro;239;85;72;82;80; $ 15,00 ; $ 3.585,00 ; ????;|||||||||||||||||;;;;;;;;;;;;;;;;;;;
8/5/2025;2025;Perú;Oeschle;LG;Claro;80;23;17;40;27; $ 15,00 ; $ 1.200,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
22/3/2025;2025;Alemania;Oeschle;Samsung;Tuenti;78;39;25;14;26; $ 15,00 ; $ 1.170,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
5/5/2025;2025;España;Oeschle;Motorola;Movistar;105;27;41;37;35; $ 15,00 ; $ 1.575,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
4/7/2024;2024;España;Oeschle;Nokia;Tuenti;83;29;2;52;28; $ 15,00 ; $ 1.245,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
30/6/2024;2024;Uruguay;Oeschle;Samsung;Claro;188;95;11;82;63; $ 15,00 ; $ 2.820,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
14/10/2024;2024;Francia;Oeschle;LG;Movistar;159;17;52;90;53; $ 15,00 ; $ 2.385,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
8/12/2024;2024;Jamaica;Oeschle;LG;Bitel;94;10;33;51;31; $ 15,00 ; $ 1.410,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
13/3/2025;2025;El Salvador;Oeschle;Apple;Tuenti;109;59;44;6;36; $ 15,00 ; $ 1.635,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
17/2/2025;2025;Chile;Oeschle;Motorola;Tuenti;128;65;30;33;43; $ 15,00 ; $ 1.920,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
21/9/2024;2024;Argentina;Oeschle;LG;Entel;163;6;75;82;54; $ 15,00 ; $ 2.445,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
26/2/2025;2025;Canadá;Oeschle;Huawei;Tuenti;128;95;31;2;43; $ 15,00 ; $ 1.920,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
1/10/2024;2024;Chile;Oeschle;Samsung;Entel;188;29;79;80;63; $ 15,00 ; $ 2.820,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
11/12/2024;2024;Irlanda;Oeschle;LG;Movistar;101;30;67;4;34; $ 15,00 ; $ 1.515,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
14/7/2024;2024;Uruguay;Oeschle;Apple;Bitel;188;27;71;90;63; $ 15,00 ; $ 2.820,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
10/7/2024;2024;Bolivia;Oeschle;Motorola;Movistar;138;17;43;78;46; $ 15,00 ; $ 2.070,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
18/4/2025;2025;Cuba;Oeschle;Apple;Claro;167;95;69;3;56; $ 15,00 ; $ 2.505,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
16/10/2024;2024;España;Oeschle;Nokia;Tuenti;94;9;51;34;31; $ 15,00 ; $ 1.410,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
20/12/2024;2024;Suiza;Oeschle;Huawei;Bitel;184;32;92;60;61; $ 15,00 ; $ 2.760,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
29/3/2025;2025;Alemania;Oeschle;Samsung;Movistar;125;30;34;61;42; $ 15,00 ; $ 1.875,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
14/4/2025;2025;Guatemala;Oeschle;Samsung;Bitel;123;57;34;32;41; $ 15,00 ; $ 1.845,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
22/10/2024;2024;Suiza;Oeschle;Samsung;Claro;156;46;90;20;52; $ 15,00 ; $ 2.340,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
1/11/2024;2024;Guatemala;Oeschle;Apple;Entel;66;45;20;1;22; $ 15,00 ; $ 990,00 ; ?;||||;;;;;;;;;;;;;;;;;;;
9/2/2025;2025;Cuba;Oeschle;Apple;Tuenti;144;53;12;79;48; $ 15,00 ; $ 2.160,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
28/8/2024;2024;Venezuela;Oeschle;Huawei;Tuenti;154;62;29;63;51; $ 15,00 ; $ 2.310,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
10/5/2025;2025;Francia;Oeschle;Huawei;Entel;117;2;89;26;39; $ 15,00 ; $ 1.755,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
6/9/2024;2024;España;Oeschle;Motorola;Claro;96;36;1;59;32; $ 15,00 ; $ 1.440,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
22/12/2024;2024;España;Oeschle;LG;Bitel;134;15;60;59;45; $ 15,00 ; $ 2.010,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
9/11/2024;2024;Estados Unidos;Oeschle;Apple;Tuenti;250;83;82;85;83; $ 15,00 ; $ 3.750,00 ; ????;||||||||||||||||||;;;;;;;;;;;;;;;;;;;
6/12/2024;2024;Bolivia;Plaza Vea;Nokia;Tuenti;176;15;91;70;59; $ 15,00 ; $ 2.640,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
23/11/2024;2024;Estados Unidos;Plaza Vea;Nokia;Claro;189;38;92;59;63; $ 15,00 ; $ 2.835,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
28/3/2025;2025;Guatemala;Plaza Vea;Apple;Bitel;111;4;33;74;37; $ 15,00 ; $ 1.665,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
3/11/2024;2024;Dinamarca;Plaza Vea;Nokia;Movistar;165;82;55;28;55; $ 15,00 ; $ 2.475,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
11/12/2024;2024;Alemania;Plaza Vea;LG;Bitel;100;9;21;70;33; $ 15,00 ; $ 1.500,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
12/12/2024;2024;Suiza;Plaza Vea;Motorola;Movistar;84;29;25;30;28; $ 15,00 ; $ 1.260,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
14/12/2024;2024;España;Plaza Vea;LG;Bitel;140;13;95;32;47; $ 15,00 ; $ 2.100,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
21/12/2024;2024;Jamaica;Plaza Vea;LG;Claro;219;64;71;84;73; $ 15,00 ; $ 3.285,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
26/7/2024;2024;Uruguay;Plaza Vea;LG;Entel;108;16;66;26;36; $ 15,00 ; $ 1.620,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
18/12/2024;2024;Cuba;Plaza Vea;LG;Claro;177;20;80;77;59; $ 15,00 ; $ 2.655,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
11/8/2024;2024;El Salvador;Plaza Vea;LG;Bitel;220;42;94;84;73; $ 15,00 ; $ 3.300,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
30/7/2024;2024;Francia;Plaza Vea;Motorola;Bitel;162;69;24;69;54; $ 15,00 ; $ 2.430,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
2/11/2024;2024;Uruguay;Plaza Vea;Nokia;Claro;67;39;9;19;22; $ 15,00 ; $ 1.005,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
6/7/2024;2024;Guatemala;Plaza Vea;Nokia;Claro;156;60;9;87;52; $ 15,00 ; $ 2.340,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
12/12/2024;2024;España;Plaza Vea;Apple;Bitel;175;74;67;34;58; $ 15,00 ; $ 2.625,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
2/7/2024;2024;Inglaterra;Plaza Vea;Motorola;Bitel;199;94;69;36;66; $ 15,00 ; $ 2.985,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
13/10/2024;2024;Irlanda;Plaza Vea;LG;Movistar;171;58;82;31;57; $ 15,00 ; $ 2.565,00 ; ????;||||||||||||;;;;;;;;;;;;;;;;;;;
5/11/2024;2024;Francia;Plaza Vea;LG;Entel;159;20;78;61;53; $ 15,00 ; $ 2.385,00 ; ????;|||||||||||;;;;;;;;;;;;;;;;;;;
10/9/2024;2024;Venezuela;Plaza Vea;Samsung;Movistar;202;66;46;90;67; $ 15,00 ; $ 3.030,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
25/10/2024;2024;España;Plaza Vea;LG;Entel;73;43;18;12;24; $ 15,00 ; $ 1.095,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
15/1/2025;2025;Perú;Plaza Vea;Apple;Bitel;112;91;7;14;37; $ 15,00 ; $ 1.680,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
19/2/2025;2025;Suiza;Plaza Vea;Apple;Tuenti;178;22;89;67;59; $ 15,00 ; $ 2.670,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
21/8/2024;2024;Brasil;Plaza Vea;LG;Claro;198;40;72;86;66; $ 15,00 ; $ 2.970,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
20/10/2024;2024;Jamaica;Plaza Vea;LG;Tuenti;91;46;36;9;30; $ 15,00 ; $ 1.365,00 ; ?;||||||;;;;;;;;;;;;;;;;;;;
14/12/2024;2024;Irlanda;Plaza Vea;Motorola;Bitel;183;84;85;14;61; $ 15,00 ; $ 2.745,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
29/4/2025;2025;El Salvador;Plaza Vea;Apple;Bitel;129;50;50;29;43; $ 15,00 ; $ 1.935,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
4/10/2024;2024;Chile;Plaza Vea;Nokia;Bitel;182;61;43;78;61; $ 15,00 ; $ 2.730,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
10/8/2024;2024;Francia;Plaza Vea;LG;Tuenti;127;52;52;23;42; $ 15,00 ; $ 1.905,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
8/11/2024;2024;Suiza;Plaza Vea;Apple;Tuenti;220;84;77;59;73; $ 15,00 ; $ 3.300,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
8/10/2024;2024;Irlanda;Plaza Vea;Samsung;Claro;96;1;47;48;32; $ 15,00 ; $ 1.440,00 ; ?;|||||||;;;;;;;;;;;;;;;;;;;
2/3/2025;2025;Inglaterra;Plaza Vea;Motorola;Tuenti;144;76;29;39;48; $ 15,00 ; $ 2.160,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
29/1/2025;2025;Chile;Plaza Vea;LG;Movistar;209;83;39;87;70; $ 15,00 ; $ 3.135,00 ; ????;|||||||||||||||;;;;;;;;;;;;;;;;;;;
9/10/2024;2024;España;Plaza Vea;Huawei;Bitel;225;85;55;85;75; $ 15,00 ; $ 3.375,00 ; ????;||||||||||||||||;;;;;;;;;;;;;;;;;;;
2/9/2024;2024;Alemania;Plaza Vea;LG;Movistar;247;90;67;90;82; $ 15,00 ; $ 3.705,00 ; ????;||||||||||||||||||;;;;;;;;;;;;;;;;;;;
19/9/2024;2024;Paraguay;Plaza Vea;Huawei;Claro;78;20;26;32;26; $ 15,00 ; $ 1.170,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
11/1/2025;2025;El Salvador;Plaza Vea;Apple;Movistar;134;73;5;56;45; $ 15,00 ; $ 2.010,00 ; ????;||||||||||;;;;;;;;;;;;;;;;;;;
1/1/2025;2025;Paraguay;Plaza Vea;Huawei;Movistar;67;27;14;26;22; $ 15,00 ; $ 1.005,00 ; ?;|||||;;;;;;;;;;;;;;;;;;;
1/11/2024;2024;Venezuela;Plaza Vea;Huawei;Claro;180;59;38;83;60; $ 15,00 ; $ 2.700,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
24/11/2024;2024;Portugal;Plaza Vea;Motorola;Tuenti;122;29;39;54;41; $ 15,00 ; $ 1.830,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
24/7/2024;2024;Chile;Plaza Vea;Apple;Movistar;187;86;44;57;62; $ 15,00 ; $ 2.805,00 ; ????;||||||||||||||;;;;;;;;;;;;;;;;;;;
17/8/2024;2024;Cuba;Plaza Vea;LG;Claro;129;35;45;49;43; $ 15,00 ; $ 1.935,00 ; ?;|||||||||;;;;;;;;;;;;;;;;;;;
12/7/2024;2024;Estados Unidos;Plaza Vea;Apple;Entel;118;61;4;53;39; $ 15,00 ; $ 1.770,00 ; ?;||||||||;;;;;;;;;;;;;;;;;;;
7/11/2024;2024;Suiza;Plaza Vea;Huawei;Tuenti;175;72;82;21;58; $ 15,00 ; $ 2.625,00 ; ????;|||||||||||||;;;;;;;;;;;;;;;;;;;
